Subsystem,k_significant,n_total,expected,enrichment_ratio,p_value,q_value,Significant
Biomass and maintenance functions,1,2,0.07514761137949544,13.307142857142857,0.07374552842892498,0.2622063233028444,False
Triacylglycerol Synthesis,5,13,0.48845947396672035,10.236263736263735,7.037264813761687e-05,0.0006216094766364192,True
Salvage Pathway,1,3,0.11272141706924316,8.871428571428572,0.1085671251045293,0.3399559444817747,False
Alanine and Aspartate Metabolism,4,12,0.45088566827697263,8.871428571428572,0.0007471121759510268,0.004781517926086572,True
Cholesterol Metabolism,14,43,1.615673644659152,8.665116279069768,1.8002754806891242e-10,5.7608815382051975e-09,True
Glycerophospholipid Metabolism,10,47,1.7659688674181429,5.6626139817629175,6.404657251061191e-06,0.00010247451601697906,True
Oxidative Phosphorylation,1,5,0.1878690284487386,5.322857142857143,0.1743582780531242,0.39115774361926037,False
Fructose and Mannose Metabolism,3,16,0.6011808910359635,4.990178571428571,0.02029951209544052,0.08738595963479785,False
R Group Synthesis,9,50,1.8786902844873858,4.790571428571429,7.77011845795524e-05,0.0006216094766364192,True
Glycolysis/Gluconeogenesis,4,29,1.0896403650026838,3.6709359605911334,0.021846489908699463,0.08738595963479785,False
Pyrimidine Biosynthesis,1,8,0.30059044551798175,3.3267857142857142,0.26411171584531895,0.43751261400051,False
"Transport, Peroxisomal",9,80,3.0059044551798175,2.9941071428571426,0.0027568421491193625,0.0147031581286366,True
Pyrimidine Catabolism,2,18,0.6763285024154589,2.9571428571428573,0.14510103186727744,0.3869360849794065,False
Vitamin A Metabolism,3,32,1.202361782071927,2.4950892857142857,0.11685985591561004,0.3399559444817747,False
CYP Metabolism,1,12,0.45088566827697263,2.217857142857143,0.3688853647037305,0.5365605304781534,False
Pyruvate Metabolism,2,27,1.0144927536231885,1.9714285714285713,0.26959824364299484,0.43751261400051,False
Steroid Metabolism,3,42,1.578099838969404,1.9010204081632653,0.20818016309254958,0.41636032618509916,False
Tyrosine metabolism,3,45,1.6908212560386473,1.7742857142857142,0.23817371829932454,0.43751261400051,False
Sphingolipid Metabolism,5,79,2.9683306494900696,1.6844484629294756,0.17417893828511644,0.39115774361926037,False
Arginine and Proline Metabolism,2,33,1.2399355877616747,1.612987012987013,0.35371280762734925,0.5365605304781534,False
Citric Acid Cycle,1,17,0.6387546967257112,1.5655462184873952,0.47925434836520475,0.6134455659074621,False
"Transport, Endoplasmic Reticular",6,102,3.8325281803542675,1.565546218487395,0.1833551923215283,0.39115774361926037,False
Fatty acid activation,2,37,1.3902308105206655,1.4386100386100387,0.4079886830403668,0.5636670583708995,False
Nucleotides,8,164,6.162104133118626,1.2982578397212543,0.27344538375031874,0.43751261400051,False
"Transport, Mitochondrial",8,190,7.139023081052066,1.1206015037593986,0.42275029377817464,0.5636670583708995,False
Fatty acid elongation,1,25,0.9393451422436929,1.0645714285714287,0.6173386631351478,0.7598014315509511,False
"Transport, Extracellular",18,516,19.388083735909824,0.9284053156146179,0.673154276865453,0.7735404267991902,False
"Valine, Leucine, and Isoleucine Metabolism",1,30,1.1272141706924315,0.8871428571428572,0.6844756685999713,0.7735404267991902,False
Inositol Phosphate Metabolism,2,64,2.404723564143854,0.8316964285714286,0.7010210117867661,0.7735404267991902,False
Intracellular demand,1,35,1.3150831991411702,0.7604081632653061,0.7399029034747922,0.7892297637064449,False
Fatty Acid Metabolism,1,42,1.578099838969404,0.6336734693877552,0.8016261785293103,0.8274850875141267,False
Extracellular exchange,8,416,15.630703166935051,0.5118131868131868,0.9918239299990694,0.9918239299990694,False
