PC,Variance,Cumulative_Variance
PC1,0.09566738156665466,0.09566738156665466
PC2,0.046592332799862704,0.14225971436651735
PC3,0.035461866442493856,0.1777215808090112
PC4,0.030955228322737383,0.2086768091317486
PC5,0.02926691827444266,0.23794372740619127
PC6,0.02733923805264986,0.2652829654588411
PC7,0.025270139904179662,0.29055310536302076
PC8,0.02371862174642557,0.31427172710944634
PC9,0.0219195721776271,0.3361912992870734
PC10,0.0209483703929284,0.3571396696800018
PC11,0.020270232552768015,0.3774099022327698
PC12,0.020094440046751788,0.3975043422795216
PC13,0.018972071732230908,0.4164764140117525
PC14,0.0184637422310107,0.4349401562427632
PC15,0.017245821517315935,0.4521859777600792
PC16,0.01663198216366011,0.4688179599237393
PC17,0.016400231156614927,0.48521819108035424
PC18,0.015923354578715694,0.50114154565907
PC19,0.015337005333934195,0.5164785509930042
PC20,0.0149893224169748,0.531467873409979
