cell_type,cell_abundance,n_significant,n_total,response_rate,mean_flux_change,contribution_score,simple_weighted_response,contribution_percent,simple_weighted_percent
LECs,0.39949172503564123,166,3726,0.04455179817498658,0.1970688972043513,0.003507446954744033,1.779807470636512,53.6498834134083,39.437857460531085
qHSCs,0.037903675695778835,337,3726,0.09044551798174987,0.1464751027803803,0.0005021485226355015,0.342821758171698,7.680860193529545,7.596414700017455
aHSCs,0.02597161098369801,329,3726,0.08829844337090714,0.1508850478051821,0.00034601756163086237,0.22932528216952885,5.2926821360416945,5.081503443214289
Cholangiocytes,0.044969937395400734,283,3726,0.07595276435856146,0.09226861976056311,0.0003151518726077547,0.34155910582121335,4.820560778561296,7.568436222433691
Neutrophiles,0.032913903179817766,334,3726,0.08964036500268384,0.10360967092598819,0.00030569145416939136,0.2950414294701861,4.675854286115627,6.5376744576958234
"Cd207+, Trem2+ Mo-KC",0.022097563999256182,155,3726,0.04159957058507783,0.271506615343793,0.0002495822317125708,0.09192491733453323,3.8176080226464495,2.036917951363527
"Cx3cr1+, Ccr2+ MdM",0.05113742019463212,121,3726,0.03247450348899624,0.09120083004768144,0.000151453782973148,0.16606623305288476,2.3166359759308217,3.6797780300387113
Timd4+ resKC,0.03898840885142255,131,3726,0.03515834675254965,0.10927080806536336,0.00014978492678193229,0.137076799772849,2.291109163623264,3.037415776580614
Hepatocytes,0.09387590652699436,64,3726,0.017176596886741814,0.08948669924847683,0.00014429449299511353,0.1612468603791637,2.2071275278772258,3.5729879779172773
Dendrites,0.045465815409409284,222,3726,0.05958132045088567,0.0462260638315481,0.00012522239992744487,0.270891331746883,1.9154009293762457,6.00254460383084
"Ly6c2+, Ccr2+ Mo",0.03176718527242298,127,3726,0.034084809447128286,0.10435469592447871,0.00011299301660064289,0.10827784566821576,1.728340369896256,2.3992742552481303
Transitioning Mo,0.011498171449823343,194,3726,0.05206655931293613,0.18596717096078796,0.00011133300822723438,0.05986702257825358,1.7029488937462915,1.3265632052792697
T cells,0.03663298828488192,69,3726,0.018518518518518517,0.1454755239259065,9.868894747619986e-05,0.06783886719422577,1.5095454313653307,1.5032072956368505
MCs,0.007221223578999566,306,3726,0.0821256038647343,0.1372930248510674,8.142126415881122e-05,0.05930473470675972,1.2454190714371978,1.314103751493614
"Trem2+, Spp1+ MdM",0.014380462406248063,293,3726,0.07863660762211487,0.06649867177310842,7.519874484785136e-05,0.11308307796647028,1.1502394607750486,2.505750977910458
"Cd207-, Trem2+ Mo-KC",0.02026901382259964,91,3726,0.024422973698336018,0.13317502988437213,6.592558063907213e-05,0.04950295914805602,1.0083972076793912,1.0969111428986922
cAMP qHSCs,0.003967024112068431,344,3726,0.09232420826623725,0.15020108542221644,5.501150205848128e-05,0.03662523603197907,0.8414555401449758,0.8115601613757302
B cells,0.040476042893448215,64,3726,0.017176596886741814,0.059649310851606616,4.1470626981758545e-05,0.06952406723512307,0.6343344122832668,1.5405487947045111
Mast cells,0.0026963367011715116,334,3726,0.08964036500268384,0.12833857609070043,3.101951162240357e-05,0.024170060606314676,0.47447422685377855,0.5355722013366635
"Ly6c2-, Spn+ Mo",0.015682142193020516,68,3726,0.01825013419216318,0.09634175174071534,2.7573124904652558e-05,0.028620119944320857,0.4217583203866045,0.6341788252320159
Cycling,0.007934048224136863,126,3726,0.033816425120772944,0.0656221747753986,1.7606504805242753e-05,0.026830114767612576,0.2693089709714001,0.5945150019380349
Macrophages,0.010475423045930701,71,3726,0.0190552871712292,0.08581041115480198,1.7128804471287687e-05,0.019961219438032203,0.262002070096229,0.44231060939077893
DCs,0.0041839707431971735,299,3726,0.08024691358024691,0.01636672016739781,5.495138385508262e-06,0.0335750738651625,0.0840535972537831,0.7439731539319437
