cell_type,129S1SvImJ,AJ,C57BL6J,CASTEiJ,DBA2J,NODShiLtJ,NZOHlLtJ,PWKPhJ,WSBEiJ
B cells,1.1215072524980285,0.9892914508639467,1.1637459493688784,1.8472299774606344,0.9055103437092099,0.90489635389607,2.138056342629512,0.7139343039835252,0.8440822371363914
"Cd207+, Trem2+ Mo-KC",3.275848797226979,3.170576602406544,2.878038880617033,3.4380968655713917,3.013867466550286,3.3701085080365836,2.918661549745881,3.4213015244580536,3.3441352108453106
"Cd207-, Trem2+ Mo-KC",0.8651099882872845,0.8645623341901172,1.440547242729624,1.3233707296982524,0.7767103285793591,0.7739410555072762,1.3804870785209764,0.715812250858502,0.760916290766472
Cholangiocytes,5.9858950638467165,6.307435919823999,5.256838032322253,6.687137945691249,5.831371831705502,6.528874815167549,5.1123442026149934,6.729824456844296,6.370774390372744
"Cx3cr1+, Ccr2+ MdM",2.1011775094856553,2.931707924657411,3.7453282117850595,3.661265601712261,2.8547595443810714,3.250584654067026,4.02507181910691,1.8301548205800748,2.700860948450821
Cycling,0.22761587186326276,0.2629273718099763,0.4075253292604812,0.4287183303470175,0.23684178635257608,0.2678704339765671,0.4348022247926439,0.1511853866383567,0.22454001915054791
DCs,0.6499809637704973,0.5930043194903026,0.664842706233264,0.6683975266383314,0.6814315148869803,0.6766113854436533,0.5124694521334296,0.6306869859997493,0.6670329897768424
Dendrites,2.2599524232641723,3.249874455101204,3.469155428274652,2.4225449385863405,2.2842596796352455,2.4102506429792254,3.4031411967998944,2.426929579887458,2.667266408337869
Hepatocytes,1.8750150918370057,1.8406306069763698,2.4230594107730647,1.3200588337260768,1.5886413950090545,0.9400949365166571,4.720936108710902,1.2151162305132013,1.2047437103016196
LECs,56.99041472531824,54.75125318129892,53.59487828109539,52.24541649184744,58.06325532254504,55.31857973188228,49.43212497756267,57.748860942570076,56.64674883116601
"Ly6c2+, Ccr2+ Mo",1.4116586097836439,1.7648972425911087,1.7167396866873705,2.020447000048948,1.8327648107958345,1.768683047665427,2.543260271329649,1.123117377487394,1.3536070411573151
"Ly6c2-, Spn+ Mo",1.4957809446841033,1.0939664211045428,1.1970295588339963,1.1777867202418877,1.3976587597900734,1.1907749813986694,1.22885197170803,1.3986683420771573,1.2174820479812591
MCs,0.9476191200169647,0.8816653316884385,0.8938813585959184,1.055226176374539,0.8926414733327133,1.0180354610152609,0.6162115199159324,0.9921582421179507,0.9878672138463138
Macrophages,0.28110561333699513,0.23214292511655182,0.3766026104515506,0.16264038107867534,0.21004276641222389,0.11423770091363109,0.5145373153668523,0.14075233482240213,0.17377702425340028
Mast cells,0.38628732320024367,0.3809698998694037,0.3553037662892091,0.3388783815138129,0.36042376203910625,0.3876003468298259,0.3575570846956804,0.4078254351276462,0.39021334040921307
Neutrophiles,4.690809588725595,4.683794354164474,4.215000299758289,4.0793246678469925,4.562955069226062,4.653754991800677,3.9291937599199236,4.958010731185448,4.656995238263983
T cells,0.8396690317549012,0.7971390542973902,1.1309157565777506,0.5727973414891088,0.7241694227411628,0.49040744996726465,1.9445939499616598,0.5376026136805937,0.5232857289923025
Timd4+ resKC,1.9312787410581111,1.9911565440791639,2.4725645342710214,2.649674831638471,1.5525375202868474,1.9250665415354873,3.052039964280677,1.5419041873735735,1.8008910286276947
Transitioning Mo,1.6369074468997233,1.655034085972477,1.4891487808521362,1.6904261319899057,1.6713193450596309,1.7369136082250498,1.5551595138638423,1.7484312018061867,1.6934222639421699
"Trem2+, Spp1+ MdM",1.0334579451033772,1.4212694515916062,1.4105897505806357,1.39444265300445,0.9728517499343445,1.3430778842725588,1.4438522752963716,1.063555734260664,1.2830878789379727
aHSCs,3.6294446155753604,3.6541228985809497,3.1109322136199733,3.880046677428026,3.4477339474869133,3.9163506172463878,2.995277546600375,3.915265011708159,3.781117432628979
cAMP qHSCs,0.6029040018913997,0.6141894418309506,0.6241143767660049,0.657155580974444,0.5815664518291765,0.6644711036358855,0.5439639851433957,0.6242631348412275,0.635466727428433
qHSCs,5.7605593305717315,5.86838818249416,5.963217834256437,6.278916215091758,5.556685707711585,6.348813748020998,5.197405889299788,5.96463917117829,6.071685997226354
